storm_names,eff_land_sp,direct,angled,cross,press_mbars,max_sust_winds_kts,storm_surge,storm_tide,moon_phase,low_neap,high_neap,high_ebb,high_tide_line,low_tide_line,norm_cost,cost_category
Grace,17.16558351,0,1,0,1007,35,2,0,3,0,0,0,1.3,0.5,0,minimal
Isabel,22.46976289,1,0,0,957,90,0,0,20,0,0,0,3.3,1.2,79569670.51,severe
Bonnie,27.63078473,0,0,0,1002,40,1.9,5.21,25,0,0,1,1.8,0,0,minimal
Charley,24.78863163,0,1,0,942,130,0,9.4,25,0,0,0,1.6,0.1,0,minimal
Charley,29.70381111,0,0,1,992,70,0,0,26,1,0,0,5.8,0.3,217116629.1,catastrophic
Gaston,8.137266987,1,0,0,985,65,0,0,13,1,0,0,6.6,-0.2,1764072.612,high
Hermine,18.97920494,0,0,0,1012,35,0,0,15,1,0,0,5.7,0,0,minimal
Frances,7.826172785,0,1,0,960,90,0,6,20,0,0,1,2.4,0.1,131898742.9,catastrophic
Frances,11.57953392,1,0,0,982,50,0,0,20,1,0,0,2.7,1,0,minimal
Ivan,14.66966668,1,0,0,946,105,15,0,1,0,0,1,0.8,0.4,275910635.7,catastrophic
Jeanne,13.12094876,0,1,0,950,105,3.5,0,11,0,1,0,2.7,0.1,100942915.5,catastrophic
Matthew,13.34611017,1,0,0,1000,35,5.85,0,24,0,0,1,1.3,0.5,0,minimal
Arlene,14.56775344,1,0,0,991,50,5,0,4,0,0,1,2,-0.1,0,minimal
Cindy,13.12094876,1,0,0,991,65,0,7,0,0,0,1,0.1,0,4422678.879,high
Dennis,19.04885363,1,0,0,946,105,3.38,4.84,3,0,0,0,1.5,-0.2,34332101.17,severe
Katrina,10.81062793,1,0,0,984,70,4,0,20,0,1,0,2.8,0,0,minimal
Katrina,16.68635833,1,0,0,920,110,0,28,23,0,0,1,1.4,0,1718812558,catastrophic
Rita,12.63243543,1,0,0,937,100,0,17.8,20,0,0,0,1.2,0.1,254439345.6,catastrophic
Tammy,15.05944108,0,0,1,1002,45,0,0,1,0,1,0,3.2,0.6,0,minimal
Wilma,30.16830692,1,0,0,950,105,0,15.5,20,0,0,0,2.5,0.6,243783221.9,catastrophic
Alberto,12.77576832,1,0,0,997,40,6,0,15,0,0,1,4.2,-0.7,0,minimal
Beryl,24.62783881,0,0,0,1000,45,0,0,24,1,0,0,2.6,0,0,minimal
Ernesto,8.298416631,1,0,0,1003,40,1,0,5,0,0,1,2.1,0.4,6267470.87,high
Ernesto,15.35336464,0,1,0,987,60,0,0,7,0,0,1,3.5,0.5,6626679.11,high
Gabrielle,5.210393147,1,0,0,1005,45,0,0,26,1,0,0,0.3,3.7,0,minimal
Humberto,11.05291298,0,0,1,985,80,0,4.87,1,0,1,0,1.4,1.1,0,minimal
Dolly,7.209636919,0,1,0,967,75,4,0,18,0,1,0,0.9,0.4,129744984.7,catastrophic
